valid_time,latitude,longitude,number,expver,t2m,d2m,u10,v10,tp
2025-03-01 12:00:00,23.5,107.25,0,0001,297.16577,291.37012,0.07183838,5.4937134,0.0
2025-03-01 12:00:00,23.5,107.5,0,0001,297.34155,291.3623,-0.62835693,5.032776,0.0
2025-03-01 12:00:00,23.5,107.75,0,0001,296.95093,291.333,-1.6762085,5.411682,0.0
2025-03-01 12:00:00,23.5,108.0,0,0001,296.0271,291.0381,-2.3764038,6.314026,0.0
2025-03-01 12:00:00,23.5,108.25,0,0001,295.13843,290.4873,-1.5424194,5.4282837,0.0
2025-03-01 12:00:00,23.5,108.5,0,0001,294.92163,290.35254,-0.80023193,4.545471,0.0
2025-03-01 12:00:00,23.5,108.75,0,0001,295.69507,290.48145,-0.2230835,5.146057,0.0
2025-03-01 12:00:00,23.5,109.0,0,0001,296.66187,290.69238,0.089416504,6.0317993,0.0
2025-03-01 12:00:00,23.5,109.25,0,0001,297.09155,290.84473,-0.06390381,5.972229,0.0
2025-03-01 12:00:00,23.5,109.5,0,0001,297.0681,290.93262,-0.6137085,5.333557,0.0
2025-03-01 12:00:00,23.5,109.75,0,0001,296.45288,290.93066,-0.7807007,3.8276978,0.0
2025-03-01 12:00:00,23.5,110.0,0,0001,295.9568,291.04004,-0.5687866,2.8657837,0.0
2025-03-01 12:00:00,23.25,102.0,0,0001,295.11694,280.12207,0.93707275,2.1782837,0.0
2025-03-01 12:00:00,23.25,102.25,0,0001,294.84937,281.90137,1.041565,2.260315,0.0
2025-03-01 12:00:00,23.25,102.5,0,0001,297.79858,280.90137,0.30914307,1.7593384,0.0
2025-03-01 12:00:00,23.25,102.75,0,0001,297.82007,280.18848,-0.0072631836,1.7681274,0.0
2025-03-01 12:00:00,23.25,103.0,0,0001,296.71655,280.2334,0.13531494,1.9937134,0.0
2025-03-01 12:00:00,23.25,103.25,0,0001,293.60913,281.25488,0.66851807,2.2427368,0.0
2025-03-01 12:00:00,23.25,103.5,0,0001,291.93335,283.61035,0.3032837,2.597229,0.0
2025-03-01 12:00:00,23.25,103.75,0,0001,292.9568,283.10645,0.7456665,2.815979,0.0
2025-03-01 12:00:00,23.25,104.0,0,0001,293.34546,284.2119,1.0044556,2.9907837,0.0
2025-03-01 12:00:00,23.25,104.25,0,0001,293.5935,285.7334,0.7349243,3.0552368,0.0
2025-03-01 12:00:00,23.25,104.5,0,0001,292.7107,287.64746,0.04937744,2.972229,0.0
2025-03-01 12:00:00,23.25,104.75,0,0001,291.49976,288.77637,-0.6342163,2.4780884,0.0
2025-03-01 12:00:00,23.25,105.0,0,0001,291.17358,288.7959,-0.56292725,2.1870728,0.0
2025-03-01 12:00:00,23.25,105.25,0,0001,290.91187,288.56152,0.7163696,2.0620728,0.0
